dataset_percent,accuracy
1.0,0.6388888888888888
2.0,0.7268518518518519
3.0,0.6018518518518519
4.0,0.7685185185185185
5.0,0.8564814814814815
6.0,0.8194444444444444
7.0,0.9027777777777778
8.0,0.875
9.0,0.9259259259259259
10.0,0.8981481481481481
11.0,0.8981481481481481
12.0,0.8842592592592593
13.0,0.9444444444444444
14.0,0.9583333333333334
15.0,0.9027777777777778
16.0,0.9629629629629629
17.0,0.9675925925925926
18.0,0.9583333333333334
19.0,0.9768518518518519
20.0,0.9768518518518519
21.0,0.9814814814814815
22.0,0.9722222222222222
23.0,0.9722222222222222
24.0,0.9675925925925926
25.0,0.9907407407407407
26.0,0.9907407407407407
27.0,1.0
28.0,0.9814814814814815
29.0,0.9675925925925926
30.0,0.9907407407407407
31.0,0.9675925925925926
32.0,0.9722222222222222
33.0,1.0
34.0,1.0
35.0,1.0
36.0,0.9675925925925926
37.0,0.9768518518518519
38.0,0.9861111111111112
39.0,0.9907407407407407
40.0,0.9814814814814815
41.0,0.9907407407407407
42.0,0.9861111111111112
43.0,0.9907407407407407
44.0,0.9861111111111112
45.0,0.9861111111111112
46.0,0.9861111111111112
47.0,0.9953703703703703
48.0,0.9953703703703703
49.0,1.0
50.0,1.0
51.0,1.0
52.0,0.9861111111111112
53.0,0.9907407407407407
54.0,0.9907407407407407
55.0,1.0
56.0,1.0
57.0,0.9953703703703703
58.0,1.0
59.0,1.0
60.0,0.9953703703703703
61.0,0.9953703703703703
62.0,0.9953703703703703
63.0,1.0
64.0,1.0
65.0,0.9953703703703703
66.0,1.0
67.0,1.0
68.0,0.9953703703703703
69.0,1.0
70.0,0.9953703703703703
71.0,1.0
72.0,1.0
73.0,0.9953703703703703
74.0,0.9953703703703703
75.0,0.9953703703703703
76.0,0.9907407407407407
77.0,1.0
78.0,1.0
79.0,1.0
80.0,1.0
81.0,1.0
82.0,1.0
83.0,1.0
84.0,1.0
85.0,1.0
86.0,1.0
87.0,1.0
88.0,1.0
89.0,1.0
90.0,1.0
91.0,1.0
92.0,1.0
93.0,0.9953703703703703
94.0,1.0
95.0,1.0
96.0,1.0
97.0,1.0
98.0,1.0
99.0,1.0
